id,name,price,original_price,discount_percentage,detail,platform,productmasterid,createdat
1,[Gratis Trika Pure 300ml] Rinso Micellar Soft 700ml isi 6,72400,109700,34%,300ml,tokopedia,1,2025-09-01T16:52:28.473805+07:00
2,[Gratis Gantungan Baju] Rinso Micellar Soft 700ml isi 12 - Karton,144700,229400,37%,700ml,tokopedia,1,2025-09-01T16:52:28.474218+07:00
3,[Gratis Minyak Goreng] Rinso Superpro Deterjen Matic Cair Jerigen 4500ml,159400,235700,32%,4500ml,tokopedia,1,2025-09-01T16:52:28.474658+07:00
4,[Gratis Minyak] Molto Trika Pelicin dan Pewangi Pakaian All Varian 300ml isi 24 - Karton,77400,121700,36%,300ml,tokopedia,2,2025-09-01T16:52:28.475076+07:00
5,[Gratis Sikat] Molto Trika Pelicin dan Pewangi Pakaian All Varian 300ml isi 12,38700,60600,36%,300ml,tokopedia,2,2025-09-01T16:52:28.475535+07:00
6,[25% LEBIH MURAH IN KARTON] Banded Rumah Bersih Unilever,146600,209400,30%,-,tokopedia,3,2025-09-01T16:52:28.475961+07:00
7,[GRATIS Trika Pure 300ml] Lifebuoy Sabun Cuci Piring Lemon Pouch 650ml isi 3,28700,46700,39%,300ml,tokopedia,4,2025-09-01T16:52:28.476444+07:00
8,[SPECIAL MAMI LOUISSE!] Rinso Detergent Capsule 168g Isi 3,142700,203700,30%,168g,tokopedia,1,2025-09-01T16:52:28.476898+07:00
9,Vixal Kuat Segar Pouch 600ml Multipack isi 3,43700,62700,30%,600ml,tokopedia,5,2025-09-01T16:52:28.477309+07:00
10,CIF Multipurpose Disinfectant Spray 200ml,55200,98900,44%,200ml,tokopedia,6,2025-09-01T16:52:28.477743+07:00
11,[BUY 2 GRATIS Washing Machine Cleaner 125gr] Rinso Matic Deterjen Cair Bukaan Depan 1-6L Isi 2,131900,237450,44%,125gr,tokopedia,1,2025-09-01T16:52:28.478196+07:00
12,[SPECIAL JORDI ONSU - Free Mie Goreng] Sunlight Sabun Cuci Piring Jeruk Nipis Refill 1500Ml isi 3,68500,114700,40%,1500Ml,tokopedia,7,2025-09-01T16:52:28.478706+07:00
13,[SPECIAL JORDI ONSU - Free Piring Cantik] Rinso Molto Micellar Soft 700ml Twinpack,37700,55800,32%,700ml,tokopedia,1,2025-09-01T16:52:28.479166+07:00
14,Buy 2 SuperPell Japanese Apple & Peony 770mL Free 1 Sikat Serbaguna,27400,41800,34%,770mL,tokopedia,8,2025-09-01T16:52:28.479674+07:00
15,Buy 1 CIF Cream Original 660g FREE Indomie Goreng,35700,54900,35%,660g,tokopedia,9,2025-09-01T16:52:28.480082+07:00
